pattern,rule,width,steps,noise,trial,noiseSeed,firstMismatch,finalMatch,finalPopulation,finalHamming
block,B3/S23,64,96,0,0,block:noise:0,,true,4,0
block,B3/S23,64,96,0,1,block:noise:1,,true,4,0
block,B3/S23,64,96,0,2,block:noise:2,,true,4,0
block,B3/S23,64,96,0,3,block:noise:3,,true,4,0
block,B3/S23,64,96,0,4,block:noise:4,,true,4,0
block,B3/S23,64,96,0,5,block:noise:5,,true,4,0
block,B3/S23,64,96,0,6,block:noise:6,,true,4,0
block,B3/S23,64,96,0,7,block:noise:7,,true,4,0
block,B3/S23,64,96,0,8,block:noise:8,,true,4,0
block,B3/S23,64,96,0,9,block:noise:9,,true,4,0
block,B3/S23,64,96,0,10,block:noise:10,,true,4,0
block,B3/S23,64,96,0,11,block:noise:11,,true,4,0
block,B3/S23,64,96,0,12,block:noise:12,,true,4,0
block,B3/S23,64,96,0,13,block:noise:13,,true,4,0
block,B3/S23,64,96,0,14,block:noise:14,,true,4,0
block,B3/S23,64,96,0,15,block:noise:15,,true,4,0
block,B3/S23,64,96,0,16,block:noise:16,,true,4,0
block,B3/S23,64,96,0,17,block:noise:17,,true,4,0
block,B3/S23,64,96,0,18,block:noise:18,,true,4,0
block,B3/S23,64,96,0,19,block:noise:19,,true,4,0
block,B3/S23,64,96,0,20,block:noise:20,,true,4,0
block,B3/S23,64,96,0,21,block:noise:21,,true,4,0
block,B3/S23,64,96,0,22,block:noise:22,,true,4,0
block,B3/S23,64,96,0,23,block:noise:23,,true,4,0
block,B3/S23,64,96,0,24,block:noise:24,,true,4,0
block,B3/S23,64,96,0,25,block:noise:25,,true,4,0
block,B3/S23,64,96,0,26,block:noise:26,,true,4,0
block,B3/S23,64,96,0,27,block:noise:27,,true,4,0
block,B3/S23,64,96,0,28,block:noise:28,,true,4,0
block,B3/S23,64,96,0,29,block:noise:29,,true,4,0
block,B3/S23,64,96,0,30,block:noise:30,,true,4,0
block,B3/S23,64,96,0,31,block:noise:31,,true,4,0
block,B3/S23,64,96,0,32,block:noise:32,,true,4,0
block,B3/S23,64,96,0,33,block:noise:33,,true,4,0
block,B3/S23,64,96,0,34,block:noise:34,,true,4,0
block,B3/S23,64,96,0,35,block:noise:35,,true,4,0
block,B3/S23,64,96,0,36,block:noise:36,,true,4,0
block,B3/S23,64,96,0,37,block:noise:37,,true,4,0
block,B3/S23,64,96,0,38,block:noise:38,,true,4,0
block,B3/S23,64,96,0,39,block:noise:39,,true,4,0
