study,rule,width,height,boundary,density,seed,noise,noiseSeed,steps,label,finalPopulation,finalDensity,tailActivity,densitySlope,period,cycleStart,extinctAt,hammingFromBaseline
survey,B012467/S023456,48,48,wrap,0.1,soup-a,0,soup-a:noise,300,active,1574,0.6831597222222222,0.4493272569444444,0.00005101243400944707,,,,
survey,B012467/S023456,48,48,wrap,0.1,soup-b,0,soup-b:noise,300,active,1482,0.6432291666666666,0.4518012152777778,-0.00002688102019079374,,,,
survey,B012467/S023456,48,48,wrap,0.3,soup-a,0,soup-a:noise,300,active,1565,0.6792534722222222,0.45167824074074076,0.0000281834653144392,,,,
survey,B012467/S023456,48,48,wrap,0.3,soup-b,0,soup-b:noise,300,active,1513,0.6566840277777778,0.449095775462963,0.00004205209394584916,,,,
survey,B012467/S023456,48,48,wrap,0.5,soup-a,0,soup-a:noise,300,active,1538,0.6675347222222222,0.4487196180555555,-0.000010214546478960204,,,,
survey,B012467/S023456,48,48,wrap,0.5,soup-b,0,soup-b:noise,300,active,1537,0.6671006944444444,0.44602864583333335,-0.00003639610539964805,,,,
survey,B2457/S0123478,48,48,wrap,0.1,soup-a,0,soup-a:noise,300,active,1343,0.5828993055555556,0.5212818287037037,0.00004044815689543392,,,,
survey,B2457/S0123478,48,48,wrap,0.1,soup-b,0,soup-b:noise,300,active,1349,0.5855034722222222,0.5203486689814816,0.000023612847704609304,,,,
survey,B2457/S0123478,48,48,wrap,0.3,soup-a,0,soup-a:noise,300,active,1314,0.5703125,0.5187861689814814,-0.000004860049859528881,,,,
survey,B2457/S0123478,48,48,wrap,0.3,soup-b,0,soup-b:noise,300,active,1315,0.5707465277777778,0.5185908564814814,-0.000010612515822296317,,,,
survey,B2457/S0123478,48,48,wrap,0.5,soup-a,0,soup-a:noise,300,active,1319,0.5724826388888888,0.5188440393518519,0.00000797144654379303,,,,
survey,B2457/S0123478,48,48,wrap,0.5,soup-b,0,soup-b:noise,300,active,1335,0.5794270833333334,0.5195384837962963,-0.000005571570806705567,,,,
survey,B02567/S016,48,48,wrap,0.1,soup-a,0,soup-a:noise,300,active,836,0.3628472222222222,0.5441478587962963,0.000006705180451359945,,,,
survey,B02567/S016,48,48,wrap,0.1,soup-b,0,soup-b:noise,300,active,833,0.3615451388888889,0.5453052662037038,0.00006742565450279399,,,,
survey,B02567/S016,48,48,wrap,0.3,soup-a,0,soup-a:noise,300,active,872,0.3784722222222222,0.5454210069444445,-0.00005253195332036677,,,,
survey,B02567/S016,48,48,wrap,0.3,soup-b,0,soup-b:noise,300,active,800,0.3472222222222222,0.5495008680555555,-0.00003233199422679139,,,,
survey,B02567/S016,48,48,wrap,0.5,soup-a,0,soup-a:noise,300,active,813,0.3528645833333333,0.5467086226851852,0.000009177414250872156,,,,
survey,B02567/S016,48,48,wrap,0.5,soup-b,0,soup-b:noise,300,active,784,0.3402777777777778,0.5464988425925926,-0.000007151388502979222,,,,
survey,B0123/S245678,48,48,wrap,0.1,soup-a,0,soup-a:noise,300,fixed,2116,0.9184027777777778,0,0,1,1,,
survey,B0123/S245678,48,48,wrap,0.1,soup-b,0,soup-b:noise,300,fixed,2095,0.9092881944444444,0,0,1,2,,
survey,B0123/S245678,48,48,wrap,0.3,soup-a,0,soup-a:noise,300,periodic,1791,0.77734375,0.004340277777777778,0.0000010853709363712141,4,19,,
survey,B0123/S245678,48,48,wrap,0.3,soup-b,0,soup-b:noise,300,periodic,1768,0.7673611111111112,0.0030381944444444445,-6.512225618227285e-7,10,12,,
survey,B0123/S245678,48,48,wrap,0.5,soup-a,0,soup-a:noise,300,periodic,1681,0.7296006944444444,0.003269675925925926,3.7384998919452936e-7,18,27,,
survey,B0123/S245678,48,48,wrap,0.5,soup-b,0,soup-b:noise,300,periodic,1660,0.7204861111111112,0.004644097222222222,-1.6883547899107776e-7,180,22,,
survey,B123468/S0123,48,48,wrap,0.1,soup-a,0,soup-a:noise,300,active,1034,0.4487847222222222,0.795775462962963,-0.000037565894075514806,,,,
survey,B123468/S0123,48,48,wrap,0.1,soup-b,0,soup-b:noise,300,active,1035,0.44921875,0.7910228587962963,-0.00006788392223148406,,,,
survey,B123468/S0123,48,48,wrap,0.3,soup-a,0,soup-a:noise,300,active,1176,0.5104166666666666,0.7926142939814815,0.00011240824997684541,,,,
survey,B123468/S0123,48,48,wrap,0.3,soup-b,0,soup-b:noise,300,active,1118,0.4852430555555556,0.7924840856481482,0.0000611908014571949,,,,
survey,B123468/S0123,48,48,wrap,0.5,soup-a,0,soup-a:noise,300,active,1152,0.5,0.791283275462963,-0.00005880298539717823,,,,
